Test Category|What is 2 + 2?|4
Entertainment: Music|Which Beatle led the way across the zebra crossing on the Abbey Road album cover?|John
Entertainment: Music|Which Iron Maiden album did the song "Dream of Mirrors" feature in?|Brave New World
Entertainment: Music|Which American family band had a 1986 top 10 hit with the song 'Crush On You'?|The Jets
Entertainment: Music|Who was walking like an Egyptian in 1981?|The Bangles
Entertainment: Music|In the song “The Ultimate Showdown of Ultimate Destiny,” who is the only one to survive the battle?|Mr. Rogers
Entertainment: Music|The 1952 musical composition 4'33", composed by prolific American composer John Cage, is mainly comprised of what sound?|Silence
Entertainment: Music|Which song previously recorded by Elvis Presley was covered by UB40 with a reggae beat?|Can't Help Falling in Love
Entertainment: Music|Who is the lead singer of the Smashing Pumpkins?|Billy Corgan
Entertainment: Music|Which artist collaborated with American DJ Dillon Francis to release the song 2016 "Need You"?|NGHTMRE
Entertainment: Music|Which of these is NOT a name of an album released by American rapper Pitbull?|Welcome to Miami
Entertainment: Music|How many studio albums have the heavy metal band, 'Metallica' released in the period between 1983 and 2016?|10
Entertainment: Music|What album did Bon Iver release in 2016?|22, A Million
Entertainment: Music|Which band released songs suchs as "Rio", "Girls on Film", and "The Reflex"?|Duran Duran
Entertainment: Music|How many members are in the Japanese rock band SCANDAL?|4
Entertainment: Music|Who sings the rap song "Secret Wars Part 1"?|The Last Emperor
Entertainment: Music|Which iconic album cover features the pulsar waves of CP 1919 placed in the center of the cover?|Unknown Pleasures
Entertainment: Music|The song "Stronger Than You" is a single by Estelle, who played Garnet in Steven Universe.|True
Entertainment: Music|What was Rage Against the Machine's debut album?|Rage Against the Machine
Entertainment: Music|Finish these lyrics from the 2016 song "Panda" by Desiigner: "I got broads in _______".|Atlanta
Entertainment: Music|What was Raekwon the Chefs debut solo album?|Only Built 4 Cuban Linx
Entertainment: Music|Michael Jackson wrote The Simpsons song "Do the Bartman".|False
Entertainment: Music|Which famous rapper is featured in Jack Ü (Skrillex and Diplo)'s 2015 single called "Febreze"?|2 Chainz
Entertainment: Music|Arcade Fire's 'The Suburbs' won the Album of the Year award in the 2011 Grammys.|True
Entertainment: Music|Musical artist, Future, collaborated with Kendrick Lamar for the song: "Mask Off".|True
Entertainment: Music|Which of these is NOT a song on The Beatles' 1968 self titled album, also known as the White album?|Being For The Benefit Of Mr. Kite!
Entertainment: Music|In which city did American rap producer DJ Khaled originate from?|Miami
Entertainment: Music|Ellie Goulding's earliest album was named?|Lights
Entertainment: Music|What was the name of the cold-war singer who has a song in Grand Theft Auto IV, and a wall landmark in Moscow for his memorial?|Viktor Tsoi
Entertainment: Music|Who is the frontman of Muse?|Matt Bellamy
Entertainment: Music|Which of these bands are NOT from Australia?|The Naked and Famous
Entertainment: Music|Artis Leon Ivey Jr. is better known as which rap artist?|Coolio
Entertainment: Music|Which Beatle wrote and sang the song "Why Don't We Do It in the Road" after being inspired by seeing two monkeys copulating in the street?|Paul
Entertainment: Music|Who wrote the song "You Know You Like It"?|AlunaGeorge
Entertainment: Music|Which French duo had UK hits in 1998 with the songs 'Sexy Boy', 'Kelly Watch The Stars' & 'All I Need'?|Air
Entertainment: Music|Panic! At the Disco's sixth album "Pray For The Wicked" was released on which date?|June 22, 2018
Entertainment: Music|The cover of The Beatles album "Abbey Road" featured a Volkswagen Beetle in the background.|True
Entertainment: Music|What Led Zeppelin album contains "Stairway to Heaven"?|Led Zeppelin IV
Entertainment: Music|Who wrote the musical composition, "Rhapsody In Blue"?|George Gershwin
Entertainment: Music|In the  Rossini opera, what was the name of 'The Barber of Seville'?|Figaro
Entertainment: Music|Which Canadian reggae musician had a 1993 hit with the song 'Informer'?|Snow
Entertainment: Music|What is the name of Rivers Cuomo's wife?|Kyoko Ito
Entertainment: Music|Who won the 1989 Drum Corps International championships?|Santa Clara Vanguard
Entertainment: Music|The music video to The Buggle's "Video Killed the Radio Star" was the first music video to broadcast on MTV.|True
Entertainment: Music|Who is a pioneer of "Minimal Music" in 1960s?|Steve Reich
Entertainment: Music|The heavy metal band Black Sabbath hail from which English city?|Birmingham
Entertainment: Music|Which band released songs such as "Electric Feel", "Kids", and "Time to Pretend"?|MGMT
Entertainment: Music|What was the name of the rock band that Nobuo Uematsu formed that played songs from various Final Fantasy games?|The Black Mages
Entertainment: Music|What was the name of singer Frank Ocean's second studio album, which was released on August 20, 2016?|Blonde
Entertainment: Music|Which Queen song was covered by Brittany Murphy in the 2006 film "Happy Feet"?|Somebody to Love
Entertainment: Music|Which member of the Foo Fighters was previously the drummer for Nirvana?|Dave Grohl
